Sample,coeff,cost,validation_accuracy,test_accuracy,,
6,0.01,0.01,79.6,62.8,7957.297394,6278.587399
6,0.01,0.1,80.3,64.0,8027.116628,6399.536675
6,0.01,1,6.0,12.1,602.8245361,1214.139482
6,0.01,10,6.3,12.7,633.780208,1274.210058
6,0.01,100,79.6,62.9,7964.664574,6292.190825
6,0.1,0.01,79.6,62.8,7957.297394,6278.587399
6,0.1,0.1,80.3,64.0,8026.846273,6398.459176
6,0.1,1,6.0,12.1,601.641732,1213.870107
6,0.1,10,6.3,12.7,633.4084696,1270.977561
6,0.1,100,79.6,62.9,7964.664574,6292.190825
6,0,0.01,79.6,62.8,7957.297394,6278.587399
6,0,0.1,80.3,64.0,8027.116628,6399.536675
6,0,1,6.0,12.1,602.8245361,1214.139482
6,0,10,6.3,12.7,634.2195352,1273.469278
6,0,100,79.6,62.9,7964.664574,6292.190825
6,1,0.01,92.5,84.8,9247.466265,8478.571236
6,1,0.1,79.6,62.8,7958.64917,6279.664898
6,1,1,6.0,12.1,597.687787,1207.001051
6,1,10,19.0,33.9,1897.217707,3389.946933
6,1,100,17.5,31.1,1751.563836,3105.95857
6,10,0.01,86.3,74.9,8626.156191,7487.070011
6,10,0.1,88.0,77.1,8799.183527,7712.199984
6,10,1,87.0,75.9,8697.529967,7593.068987
6,10,10,87.7,76.9,8774.750175,7689.437815
6,10,100,87.7,76.9,8774.682586,7685.733912